순위,노래 제목,가수
1,갑자기,아이오아이 (I.O.I)
2,LOVE ATTACK,RESCENE (리센느)
3,REDRED,CORTIS (코르티스)
4,LEMONADE,aespa
5,It′s Me,아일릿(ILLIT)
6,소문의 낙원,AKMU (악뮤)
7,Pretty Girl,RESCENE (리센느)
8,캐치 캐치,YENA (최예나)
9,"기쁨, 슬픔, 아름다운 마음",AKMU (악뮤)
10,Drowning,WOODZ
11,RUDE!,Hearts2Hearts (하츠투하츠)
12,사랑하게 될 거야,한로로
13,0+0,한로로
14,Good Goodbye,화사 (HWASA)
15,Heavy Serenade,NMIXX
16,만찬가,태연 (TAEYEON)
17,타임캡슐,다비치
18,404 (New Era),KiiiKiii (키키)
19,BANG BANG,IVE (아이브)
20,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤)
21,Popcorn,도경수(D.O.)
22,Lemon Tang,Hearts2Hearts (하츠투하츠)
23,SWIM,방탄소년단
24,Blue Valentine,NMIXX
25,너에게 닿기를,10CM
26,어제보다 슬픈 오늘,우디 (Woody)
27,소나기,이클립스 (ECLIPSE)
28,너의 모든 순간,성시경
29,멸종위기사랑,이찬혁
30,WDA (Whole Different Animal) (Feat. G-DRAGON),aespa
31,모르시나요(PROD.로코베리),조째즈
32,Golden,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast"
33,뛰어(JUMP),BLACKPINK
34,내게 사랑이 뭐냐고 물어본다면,로이킴
35,천상연,이창섭
36,Whiplash,aespa
37,toxic till the end,로제 (ROSÉ)
38,그대 작은 나의 세상이 되어,카더가든
39,한 페이지가 될 수 있게,DAY6 (데이식스)
40,그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),너드커넥션 (Nerd Connection)
41,Seven (feat. Latto) - Clean Ver.,정국
42,"HOME SWEET HOME (feat. 태양, 대성)",G-DRAGON
43,Deja Vu,RESCENE (리센느)
44,봄 내음보다 너를,김나영
45,청춘만화,이무진
46,Runaway,RESCENE (리센느)
47,Body to Body,방탄소년단
48,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴
49,HAPPY,DAY6 (데이식스)
50,like JENNIE,제니 (JENNIE)
51,사랑은 늘 도망가,임영웅
52,주저하는 연인들을 위해,잔나비
53,STYLE,Hearts2Hearts (하츠투하츠)
54,봄날,방탄소년단
55,오늘만 I LOVE YOU,BOYNEXTDOOR
56,예뻤어,DAY6 (데이식스)
57,첫 만남은 계획대로 되지 않아,TWS (투어스)
58,나는 반딧불,황가람
59,Welcome to the Show,DAY6 (데이식스)
60,사랑인가 봐,멜로망스
61,APT.,"로제 (ROSÉ), Bruno Mars"
62,FAMOUS,ALLDAY PROJECT
63,생각을 멈추다 보면,최유리
64,입춘,한로로
65,청혼하지 않을 이유를 못 찾았어,이무진
66,BOOMPALA,LE SSERAFIM (르세라핌)
67,Magnetic,아일릿(ILLIT)
68,다정히 내 이름을 부르면,"경서예지, 전건호"
69,사랑은 봄비처럼...이별은 겨울비처럼...,임현정
70,헤어지자 말해요,박재정
71,Love Love Love (Feat. Yoong Jin Of Casker),에픽하이 (EPIK HIGH)
72,Hype Boy,NewJeans
73,REBEL HEART,IVE (아이브)
74,Dynamite,방탄소년단
75,Do your dance,RIIZE
76,SPAGHETTI (feat. j-hope of BTS),"LE SSERAFIM (르세라핌), j-hope"
77,Die With A Smile,"Lady Gaga, Bruno Mars"
78,시작의 아이 ❍,"박다혜, 마크툽 (MAKTUB)"
79,Love wins all,아이유
80,ONE MORE TIME,ALLDAY PROJECT
81,달리 표현할 수 없어요,로이킴
82,Flower,오반(OVAN)
83,이 밤을 빌려 말해요,PLAVE
84,눈을 감아도(2026),순순희(지환)
85,FOCUS,Hearts2Hearts (하츠투하츠)
86,2.0,방탄소년단
87,VIRAL,BOYNEXTDOOR
88,Hooligan,방탄소년단
89,BAD,ATEEZ(에이티즈)
90,BLACKHOLE,IVE (아이브)
91,에피소드,이무진
92,OVERDRIVE,TWS (투어스)
93,I AM,IVE (아이브)
94,순간을 영원처럼,임영웅
95,FYA,방탄소년단
96,Soda Pop,"KPop Demon Hunters Cast, Danny Chung, Saja Boys, Andrew Choi, Neckwav, Kevin Woo, samUIL Lee"
97,Flashback,엔플라잉 (N.Flying)
98,LIVE FAST DIE SLOW,태양
99,우리들의 블루스,임영웅
100,Like Animals,방탄소년단
1,갑자기,아이오아이 (I.O.I)
2,LOVE ATTACK,RESCENE (리센느)
3,REDRED,CORTIS (코르티스)
4,LEMONADE,aespa
5,It′s Me,아일릿(ILLIT)
6,소문의 낙원,AKMU (악뮤)
7,Pretty Girl,RESCENE (리센느)
8,캐치 캐치,YENA (최예나)
9,"기쁨, 슬픔, 아름다운 마음",AKMU (악뮤)
10,Drowning,WOODZ
11,RUDE!,Hearts2Hearts (하츠투하츠)
12,사랑하게 될 거야,한로로
13,0+0,한로로
14,Good Goodbye,화사 (HWASA)
15,Heavy Serenade,NMIXX
16,만찬가,태연 (TAEYEON)
17,타임캡슐,다비치
18,404 (New Era),KiiiKiii (키키)
19,BANG BANG,IVE (아이브)
20,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤)
21,Popcorn,도경수(D.O.)
22,Lemon Tang,Hearts2Hearts (하츠투하츠)
23,SWIM,방탄소년단
24,Blue Valentine,NMIXX
25,너에게 닿기를,10CM
26,어제보다 슬픈 오늘,우디 (Woody)
27,소나기,이클립스 (ECLIPSE)
28,너의 모든 순간,성시경
29,멸종위기사랑,이찬혁
30,WDA (Whole Different Animal) (Feat. G-DRAGON),aespa
31,모르시나요(PROD.로코베리),조째즈
32,Golden,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast"
33,뛰어(JUMP),BLACKPINK
34,내게 사랑이 뭐냐고 물어본다면,로이킴
35,천상연,이창섭
36,Whiplash,aespa
37,toxic till the end,로제 (ROSÉ)
38,그대 작은 나의 세상이 되어,카더가든
39,한 페이지가 될 수 있게,DAY6 (데이식스)
40,그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),너드커넥션 (Nerd Connection)
41,Seven (feat. Latto) - Clean Ver.,정국
42,"HOME SWEET HOME (feat. 태양, 대성)",G-DRAGON
43,Deja Vu,RESCENE (리센느)
44,봄 내음보다 너를,김나영
45,청춘만화,이무진
46,Runaway,RESCENE (리센느)
47,Body to Body,방탄소년단
48,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴
49,HAPPY,DAY6 (데이식스)
50,like JENNIE,제니 (JENNIE)
51,사랑은 늘 도망가,임영웅
52,주저하는 연인들을 위해,잔나비
